province,year,effort_status,effort_status_v2,in_scope,mainland,n_visits,n_observers,n_birding_days,effort_record,cnt_visits_gap,cnt_visits_zero,cnt_observers_gap,cnt_observers_zero,cnt_days_gap,cnt_days_zero,cnt_record_gap,cnt_record_zero,cnt_visits_imp,cnt_observers_imp,cnt_days_imp,cnt_record_imp,eff_visits_gap_z,eff_observers_gap_z,eff_days_gap_z,eff_record_gap_z,eff_visits_zero_z,eff_observers_zero_z,eff_days_zero_z,eff_record_zero_z,eff_visits_imp_z,eff_observers_imp_z,eff_days_imp_z,eff_record_imp_z
Anhui,2012,observed,observed,TRUE,TRUE,14,7,14,91,14,14,7,7,14,14,91,91,14,7,14,91,-0.715917688658749,-0.620395030187304,-0.643219998470703,-0.131000601536402,-0.618744647833561,-0.532702594676143,-0.526491451710814,-0.047149059952013,-0.662867110965048,-0.570013530913398,-0.580363697284295,-0.0939846921772918
Anhui,2013,observed,observed,TRUE,TRUE,36,10,34,146,36,36,10,10,34,34,146,146,36,10,34,146,-0.274946956906148,-0.415631436887809,-0.0960284090839089,0.102624927378006,-0.19820466282368,-0.336501971967897,-0.0161138401090443,0.170536877106902,-0.227765839789443,-0.367647863391276,-0.0450312646176707,0.138170192505662
Anhui,2014,observed,observed,TRUE,TRUE,30,15,27,60,30,30,15,15,27,27,60,60,30,15,27,60,-0.361361902140109,-0.174706085428045,-0.240136260895593,-0.335847276499079,-0.280615891407685,-0.105651832932342,-0.15052639806362,-0.238019640747959,-0.313030574640283,-0.129543917345331,-0.186015900297402,-0.297541882286724
Anhui,2015,observed,observed,TRUE,TRUE,15,14,13,216,15,15,14,14,13,13,216,216,15,14,13,216,-0.684396350008086,-0.216203917618448,-0.687776134831122,0.296778507151095,-0.588683733743057,-0.145414275003236,-0.568049938534995,0.351443921566635,-0.631765331349082,-0.1705557807172,-0.623954178809749,0.331101599156506
Anhui,2016,observed,observed,TRUE,TRUE,21,15,15,108,21,21,15,15,15,15,108,108,21,15,15,108,-0.52885997070746,-0.174706085428045,-0.601540516426688,-0.0464729397448658,-0.440353556908843,-0.105651832932342,-0.487616083538102,0.0316115247751418,-0.478299190685306,-0.129543917345331,-0.539587525011779,-0.00998912171494226
Anhui,2017,observed,observed,TRUE,TRUE,34,20,29,89,34,34,20,20,29,29,89,89,34,20,29,89,-0.302087896396905,0.000145452740892209,-0.195580124535173,-0.141957390912833,-0.224088127336696,0.0618876213106921,-0.10896791123944,-0.0573582993859422,-0.25454552475038,0.0432599862620492,-0.142425418771947,-0.104872509899955
Anhui,2018,observed,observed,TRUE,TRUE,72,32,60,68,72,72,32,32,60,60,68,68,72,32,60,68,0.0569487585458704,0.290768827541599,0.262734501962582,-0.274414098648007,0.118313893059393,0.340357471300431,0.31851220536143,-0.180777870342307,0.0997122382158055,0.330479956821248,0.305956260860024,-0.236495418803068
Anhui,2019,observed,observed,TRUE,TRUE,194,49,131,66,194,194,49,49,131,131,66,66,194,49,131,66,0.536832388245008,0.557942445128627,0.761251683372997,-0.289077327764521,0.575963890913184,0.596358205108215,0.783490127766672,-0.194440669888957,0.573208464300036,0.594524783326216,0.793669194733176,-0.251066344679371
Anhui,2020,observed,observed,TRUE,TRUE,163,25,120,216,163,163,25,25,120,120,216,216,163,25,120,216,0.452272222478925,0.13747215341773,0.705059055141963,0.296778507151095,0.495321507455289,0.193471482255424,0.731078029440525,0.351443921566635,0.489773821212919,0.178978494632001,0.738694416333234,0.331101599156506
Anhui,2021,observed,observed,TRUE,TRUE,218,52,162,1553,218,218,52,52,162,162,1553,1553,218,52,162,1553,0.593523340462163,0.595408958594165,0.89748373237767,1.27819782418441,0.630028277682901,0.632257913421566,0.910556751492629,1.26590384668204,0.629144841927198,0.631552537552479,0.92694871805801,1.30634300119936
Anhui,2022,observed,observed,TRUE,TRUE,392,54,235,1749,392,392,54,54,235,235,1749,1749,392,54,235,1749,0.879115890108095,0.619226245529415,1.13648532872631,1.33741306186126,0.902388953571059,0.655079189668082,1.13347878881803,1.32107900053509,0.910936063978057,0.655090907296598,1.16077048810368,1.36518548617189
Anhui,2023,observed,observed,TRUE,TRUE,877,226,320,3380,877,877,226,226,320,320,3380,3380,877,226,320,3380,1.27171890107821,1.53074427194278,1.3351418337797,1.66571221622872,1.27680215712316,1.52847861341483,1.31877007352496,1.62697925632568,1.29831340410571,1.55593441615117,1.35512155668362,1.69141803737399
Anhui,2024,observed,observed,TRUE,TRUE,3083,665,364,3745,3083,3083,665,665,364,364,3745,3745,3083,665,364,3745,1.88532758412551,2.22282338245273,1.41809987273403,1.71681840047454,1.86198155291901,2.19161579643356,1.39614685819397,1.67459861393079,1.90375476058116,2.23990879323497,1.43628166525262,1.74220251441855
Beijing,2002,observed,observed,TRUE,TRUE,85,43,47,9,85,85,43,43,47,47,9,9,85,43,47,9,0.136993427844806,0.475746452630708,0.107951897588672,-1.23730427120261,0.19464998886627,0.517599551519703,0.174143071277359,-1.07797284073512,0.178691487528745,0.513291363744857,0.154528224060669,-1.19332431507347
Beijing,2003,observed,observed,TRUE,TRUE,21,11,21,193,21,21,11,11,21,21,193,193,21,11,21,193,-0.52885997070746,-0.359683710517155,-0.395880604577892,0.240925417118084,-0.440353556908843,-0.282893913151614,-0.295792567520163,0.299401525780657,-0.478299190685306,-0.31235532426894,-0.33838483285162,0.275600097518169
Beijing,2004,observed,observed,TRUE,TRUE,63,35,54,189,63,63,35,35,54,54,189,189,63,35,54,189,-0.00731461252577715,0.346716553912253,0.195867121169322,0.230539336274049,0.0570279274359031,0.393965530116714,0.256143530905788,0.289724057092157,0.036304233035565,0.385772495943584,0.240538081340459,0.265279395787246
Beijing,2005,observed,observed,TRUE,TRUE,46,29,44,364,46,46,29,29,44,44,364,364,46,29,44,364,-0.158104489625825,0.229485027140811,0.0662724155446568,0.55600570844485,-0.0867756588095274,0.281636486740565,0.135267703104646,0.592984803194621,-0.112478582880328,0.269913832850867,0.113752051788154,0.588696996811377
Beijing,2006,observed,observed,TRUE,TRUE,57,35,53,525,57,57,35,35,53,53,525,525,57,35,53,525,-0.0553938498130431,0.346716553912253,0.184017103812803,0.738164592566174,0.011176263658324,0.393965530116714,0.245090759494157,0.762715515278248,-0.011135054324167,0.385772495943584,0.228944886668524,0.769709212957732
Beijing,2007,observed,observed,TRUE,TRUE,101,55,71,557,101,101,55,55,71,71,557,557,101,55,71,557,0.220328846908821,0.63081202258926,0.369804437668502,0.767605698630751,0.274124369727526,0.666180463273765,0.418378685621445,0.790147940114262,0.260917685681612,0.666541006753725,0.41070569462077,0.798964990847762
Beijing,2008,observed,observed,TRUE,TRUE,87,52,74,406,87,87,52,52,74,74,406,406,87,52,74,406,0.148221766774849,0.595408958594165,0.39616760121204,0.610301758959068,0.205358104270117,0.632257913421566,0.442968187186511,0.643576391749637,0.189770373699342,0.631552537552479,0.436497495420131,0.642651260304928
Beijing,2009,observed,observed,TRUE,TRUE,173,72,127,496,173,173,72,72,127,127,496,496,173,72,127,496,0.48118073210325,0.801274511427098,0.7413791053799,0.709893280654968,0.522890648281833,0.829514413022651,0.764954537876022,0.73637307293527,0.518297549387225,0.835007259886412,0.774227310525263,0.741615865509447
Beijing,2010,observed,observed,TRUE,TRUE,220,68,157,448,220,220,68,68,157,157,448,448,220,68,157,448,0.597963473155131,0.765039954712505,0.87736348119794,0.659260655622484,0.634262693261281,0.794795142490208,0.891790151381969,0.689194964972646,0.63352587504298,0.799197035330567,0.907264528427137,0.691301966680702
Beijing,2011,observed,observed,TRUE,TRUE,183,75,137,250,183,183,75,75,137,137,250,250,183,75,137,250,0.508473375658737,0.82717035593393,0.789958979531002,0.369339982309677,0.548918788213223,0.854327324028588,0.810266053297776,0.419054737848874,0.54522691918358,0.86059984583019,0.821754324303182,0.403206308672379
Beijing,2012,observed,observed,TRUE,TRUE,331,103,197,204,331,331,103,103,197,197,204,204,331,103,197,204,0.796733299856908,1.02885004293625,1.02310422345283,0.268419363201092,0.823823255726181,1.04757300574303,1.02772574211076,0.325019639709977,0.829650012183715,1.05991772176813,1.04984666529328,0.302920972561403
Beijing,2013,observed,observed,TRUE,TRUE,386,107,218,227,386,386,107,107,218,218,227,227,386,107,218,227,0.871601722936237,1.05311681834166,1.08820468706665,0.321429157234428,0.895222927523807,1.07082497338504,1.08844637411211,0.374412729331079,0.903521912759205,1.08390031615611,1.11353622162064,0.355597076401857
Beijing,2014,observed,observed,TRUE,TRUE,545,114,257,101,545,545,114,114,257,257,101,101,545,114,257,101,1.03971007676664,1.09349737270032,1.19404474651774,-0.079561830815767,1.05554260297913,1.10951686085786,1.18716572178149,0.000780192717897409,1.06939269097648,1.12380798580592,1.21708243395009,-0.0428697222492537
Beijing,2015,observed,observed,TRUE,TRUE,591,148,254,404,591,591,148,148,254,254,404,404,591,148,254,404,1.07921651805847,1.26004173545896,1.18649135250276,0.607846020748695,1.09321865953424,1.26909653591269,1.18012050531321,0.641288201430794,1.10837328897985,1.28840199687312,1.20969274289607,0.640210980667296
Beijing,2016,observed,observed,TRUE,TRUE,727,170,279,263,727,727,170,170,279,279,263,263,727,170,279,263,1.18021723233265,1.34859299527423,1.24689121272268,0.394513019372176,1.18953987953458,1.35394468707765,1.23645678130508,0.442510291644865,1.20802965164974,1.37591625911911,1.26878357091937,0.428220884534528
Beijing,2017,observed,observed,TRUE,TRUE,1279,249,328,273,1279,1279,249,249,328,328,273,273,1279,249,328,273,1.45583467935419,1.59280012754585,1.35103944456202,0.413047267365392,1.45238761225877,1.58793936674419,1.3335981242089,0.459780001683976,1.47997854286215,1.61726355401409,1.37067462222548,0.446638461695485
Beijing,2018,observed,observed,TRUE,TRUE,2246,306,348,817,2246,2246,306,306,348,348,817,817,2246,306,348,817,1.73068122128778,1.72486246866886,1.38915125833461,0.958288927816955,1.71450015692901,1.71447901740732,1.36914584983981,0.96782140593668,1.75116678997832,1.74777935218532,1.40796044747561,0.988447892345716
Beijing,2019,observed,observed,TRUE,TRUE,2527,390,362,909,2527,2527,390,390,362,362,909,909,2527,390,362,909,1.78823192957471,1.88037669074264,1.41455146915732,1.01142166189196,1.76938446615312,1.86348981917732,1.39283718425599,1.01732904775718,1.80795148004874,1.90147239327741,1.43281016540568,1.04124616233526
Beijing,2020,observed,observed,TRUE,TRUE,3446,250,363,3360,3446,3446,250,250,363,363,3360,3360,3446,250,363,3360,1.93967643870686,1.59536697019771,1.41632810803911,1.6627545460364,1.91381235447835,1.59039886708102,1.39449429435554,1.6242233793874,1.95738021463635,1.61980033713211,1.43454829960402,1.68847898535506
Beijing,2021,observed,observed,TRUE,TRUE,5363,365,365,8662,5363,5363,365,365,365,365,8662,8662,5363,365,365,8662,2.15565465884824,1.83789141034632,1.41986678991347,2.13475869148567,2.11978402316424,1.82278122281321,1.39779490064826,2.06402405175083,2.17048369603131,1.85948464541302,1.43801028844482,2.15751192223414
Beijing,2022,observed,observed,TRUE,TRUE,7814,430,365,17469,7814,7814,430,430,365,365,17469,17469,7814,430,365,17469,2.33946089926518,1.9430045722445,1.41986678991347,2.48442828978486,2.29507428173184,1.92349867696089,1.39779490064826,2.38983670810081,2.35184341697598,1.96336685821329,1.43801028844482,2.50498039302794
Beijing,2023,observed,observed,TRUE,TRUE,11436,1001,365,25923,11436,11436,1001,1001,365,365,25923,25923,11436,1001,365,25923,2.52545217015214,2.48546271925075,1.41986678991347,2.68118375773221,2.47244833546985,2.4432718676966,1.39779490064826,2.57316812145537,2.53535908494073,2.49947243856991,1.43801028844482,2.7004973092841
Beijing,2024,observed,observed,TRUE,TRUE,25948,2306,365,29854,25948,25948,2306,2306,365,365,29854,29854,25948,2306,365,29854,2.92559741182696,3.02168690863711,1.41986678991347,2.75156551291398,2.85405432838212,2.95707179752566,1.39779490064826,2.63874793372926,2.93017826628554,3.02941706533744,1.43801028844482,2.77043601989476
Chongqing,2002,observed,observed,TRUE,TRUE,14,9,7,,14,14,9,9,7,7,,,14,9,7,,-0.715917688658749,-0.476915237288597,-1.04918039036222,,-0.618744647833561,-0.395222956527764,-0.905139624009477,,-0.662867110965048,-0.428213987361657,-0.977525803524127,
Chongqing,2003,observed,observed,TRUE,TRUE,3,2,2,,3,3,2,2,2,2,,,3,2,2,,-1.36147808749039,-1.25106160003567,-1.68260759815345,,-1.23439539492202,-1.13699543663922,-1.49595109060814,,-1.29983489573373,-1.19329455140507,-1.59722488998872,
Chongqing,2004,observed,observed,TRUE,TRUE,1,1,1,,1,1,1,1,1,1,,,1,1,1,,-1.70001895623155,-1.51177291970582,-1.94446013823328,,-1.5572512255115,-1.38680411816374,-1.74018670495223,,-1.63386967792605,-1.45095275804953,-1.85340236054882,
Chongqing,2005,observed,observed,TRUE,TRUE,1,1,1,12,1,1,1,1,1,1,12,12,1,1,1,12,-1.70001895623155,-1.51177291970582,-1.94446013823328,-1.10651205198741,-1.5572512255115,-1.38680411816374,-1.74018670495223,-0.956104195077362,-1.63386967792605,-1.45095275804953,-1.85340236054882,-1.06335541693796
Chongqing,2006,observed,observed,TRUE,TRUE,7,3,5,5,7,7,3,3,5,5,5,5,7,3,5,5,-1.02293721874924,-1.06608397494656,-1.23496772421792,-1.49195791887047,-0.911539564332537,-0.959753356419943,-1.07842755013676,-1.31525220902864,-0.965800113541406,-1.01048314448146,-1.15928661147637,-1.44637494906513
Chongqing,2007,observed,observed,TRUE,TRUE,9,7,7,8,9,9,7,7,7,7,8,8,9,7,7,8,-0.913951401833887,-0.620395030187304,-1.04918039036222,-1.28982794735383,-0.807603201867589,-0.532702594676143,-0.905139624009477,-1.12691297888649,-0.858264932484116,-0.570013530913398,-0.977525803524127,-1.24551736108464
Chongqing,2008,observed,observed,TRUE,TRUE,17,5,17,18,17,17,5,5,17,17,18,18,17,5,17,18,-0.626869792398963,-0.805372655276413,-0.525475310202557,-0.917331220166951,-0.533822456264481,-0.709944674895415,-0.416668395321304,-0.779830622408393,-0.575004470503269,-0.752824937837007,-0.465170862403925,-0.875365455397438
Chongqing,2009,observed,observed,TRUE,TRUE,5,2,5,10,5,5,2,2,5,5,10,10,5,2,5,10,-1.16344437431526,-1.25106160003567,-1.23496772421792,-1.18979082665745,-1.04553684088799,-1.13699543663922,-1.07842755013676,-1.03370110062705,-1.10443707421466,-1.19329455140507,-1.15928661147637,-1.14610996187103
Chongqing,2010,observed,observed,TRUE,TRUE,19,7,17,10,19,19,7,7,17,17,10,10,19,7,17,10,-0.575410533092733,-0.620395030187304,-0.525475310202557,-1.18979082665745,-0.484747371278109,-0.532702594676143,-0.416668395321304,-1.03370110062705,-0.524230150291793,-0.570013530913398,-0.465170862403925,-1.14610996187103
Chongqing,2011,observed,observed,TRUE,TRUE,7,6,7,20,7,7,6,6,7,7,20,20,7,6,7,20,-1.02293721874924,-0.706254811688515,-1.04918039036222,-0.867438230060357,-0.911539564332537,-0.614971821957637,-0.905139624009477,-0.733341686227089,-0.965800113541406,-0.654867833950475,-0.977525803524127,-0.825786535582868
Chongqing,2012,observed,observed,TRUE,TRUE,2,1,2,93,2,2,1,1,2,2,93,93,2,1,2,93,-1.50198524305641,-1.51177291970582,-1.68260759815345,-0.120279460402885,-1.36839267147747,-1.38680411816374,-1.49595109060814,-0.037159391165236,-1.43847185640698,-1.45095275804953,-1.59722488998872,-0.0833310393205735
Chongqing,2013,observed,observed,TRUE,TRUE,7,5,7,37,7,7,5,5,7,7,37,37,7,5,7,37,-1.02293721874924,-0.805372655276413,-1.04918039036222,-0.571787751538705,-0.911539564332537,-0.709944674895415,-0.905139624009477,-0.457862581875951,-0.965800113541406,-0.752824937837007,-0.977525803524127,-0.53199714079117
Chongqing,2014,observed,observed,TRUE,TRUE,11,5,11,4,11,11,5,5,11,11,4,4,11,5,11,4,-0.824903505574102,-0.805372655276413,-0.787327850282387,-1.58284773983085,-0.722681010298509,-0.709944674895415,-0.66090400966539,-1.39994088126756,-0.770402292022338,-0.752824937837007,-0.721348332964026,-1.53669262967974
Chongqing,2015,observed,observed,TRUE,TRUE,33,20,32,2,33,33,20,20,32,32,2,2,33,20,32,2,-0.316245735007472,0.000145452740892209,-0.134028064498062,-1.83750138749872,-0.237590014895983,0.0618876213106921,-0.051556953176077,-1.63722024956108,-0.26851491802978,0.0432599862620492,-0.0822073622915191,-1.7897432636714
Chongqing,2016,observed,observed,TRUE,TRUE,37,22,32,5,37,37,22,22,32,32,5,5,37,22,32,5,-0.261921885480906,0.0586396902830979,-0.134028064498062,-1.49195791887047,-0.185783059874764,0.117935699221879,-0.051556953176077,-1.31525220902864,-0.214914136204146,0.101069215118042,-0.0822073622915191,-1.44637494906513
Chongqing,2017,observed,observed,TRUE,TRUE,95,33,76,3,95,95,33,33,76,76,3,3,95,33,76,3,0.190719100649361,0.309964080753723,0.413163524888733,-1.69408789038711,0.245886481469931,0.358750001791693,0.458820658425693,-1.50359143917079,0.231702054554633,0.349450420109838,0.453125070375105,-1.64723253704562
Chongqing,2018,observed,observed,TRUE,TRUE,73,28,62,16,73,73,28,28,62,62,16,16,73,28,62,16,0.0635939118350065,0.207686558913861,0.283568819264068,-0.9727787395889,0.1246511677658,0.260749604598592,0.337944830624552,-0.831495118489132,0.106268942402881,0.248370640027256,0.3263390408228,-0.93046393944228
Chongqing,2019,observed,observed,TRUE,TRUE,101,35,80,13,101,101,35,35,80,80,13,13,101,35,80,13,0.220328846908821,0.346716553912253,0.445869643892634,-1.069568201577,0.274124369727526,0.393965530116714,0.489326373838243,-0.921680916369237,0.260917685681612,0.385772495943584,0.485122357228625,-1.02664412356336
Chongqing,2020,observed,observed,TRUE,TRUE,87,27,69,16,87,87,27,27,69,69,16,16,87,27,69,16,0.148221766774849,0.185123077830001,0.351611464851621,-0.9727787395889,0.205358104270117,0.239129701529964,0.401409700362331,-0.831495118489132,0.189770373699342,0.226071393185658,0.392907013894677,-0.93046393944228
Chongqing,2021,observed,observed,TRUE,TRUE,206,48,145,148,206,206,48,48,145,145,148,148,206,48,145,148,0.565999933267859,0.544952241088048,0.826352146986819,0.10936170352873,0.6037800656918,0.583911235992271,0.844210759768023,0.176814022571016,0.601987780029393,0.581686703716648,0.857358751060544,0.14486456147156
Chongqing,2022,observed,observed,TRUE,TRUE,438,91,241,397,438,438,91,91,241,241,397,397,438,91,241,397,0.933178032337055,0.950017579801615,1.15269892907749,0.599154400979153,0.95394632653368,0.972037222709481,1.1486015699119,0.633189585655009,0.964278621913384,0.982008442254176,1.17663269484558,0.631574073584914
Chongqing,2023,observed,observed,TRUE,TRUE,734,147,290,1980,734,734,147,147,290,290,1980,1980,734,147,290,1980,1.18489105969752,1.25571179835317,1.27177655450868,1.39922178981452,1.19399716240719,1.2649476716407,1.25966788606432,1.3786706983493,1.21264126888707,1.28412276637798,1.29312957845024,1.4266051357156
Chongqing,2024,observed,observed,TRUE,TRUE,2467,424,358,3071,2467,2467,424,424,358,358,3071,3071,2467,424,358,3071,1.77650011094066,1.93399050082891,1.40739563055668,1.61793329878374,1.75819619791388,1.91486156331985,1.38616277645287,1.58246015576333,1.796375815649,1.95445834791752,1.42580941363948,1.64393988239128
Fujian,2002,observed,observed,TRUE,TRUE,4,1,4,6,4,4,1,1,4,4,6,6,4,1,4,6,-1.25249227057504,-1.51177291970582,-1.35271241248606,-1.41511167020524,-1.13045903245707,-1.38680411816374,-1.18825060652627,-1.24364895690168,-1.19229971467644,-1.45095275804953,-1.27447944635674,-1.37001243816963
Fujian,2003,observed,observed,TRUE,TRUE,25,2,25,35,25,25,2,2,25,25,35,35,25,2,25,35,-0.447268879327791,-1.25106160003567,-0.287995769298572,-0.598741010097341,-0.362542686764753,-1.13699543663922,-0.195166012533061,-0.482976897821609,-0.39779410266097,-1.19329455140507,-0.232838160647396,-0.558780731872103
Fujian,2004,observed,observed,TRUE,TRUE,21,2,21,26,21,21,2,2,21,21,26,26,21,2,21,26,-0.52885997070746,-1.25106160003567,-0.395880604577892,-0.742154507208946,-0.440353556908843,-1.13699543663922,-0.295792567520163,-0.616605708211903,-0.478299190685306,-1.19329455140507,-0.33838483285162,-0.70129145849788
Fujian,2005,observed,observed,TRUE,TRUE,10,1,10,23,10,10,1,1,10,10,23,23,10,1,10,23,-0.867400839448614,-1.51177291970582,-0.843520478513421,-0.800870981613982,-0.763209387498323,-1.38680411816374,-0.713316107991538,-0.671316127963757,-0.81233397287763,-1.45095275804953,-0.776323111363968,-0.759638319852594
Fujian,2006,observed,observed,TRUE,TRUE,4,1,4,86,4,4,1,1,4,4,86,86,4,1,4,86,-1.25249227057504,-1.51177291970582,-1.35271241248606,-0.158857783912241,-1.13045903245707,-1.38680411816374,-1.18825060652627,-0.073105627616017,-1.19229971467644,-1.45095275804953,-1.27447944635674,-0.121666516985163
Fujian,2007,observed,observed,TRUE,TRUE,50,5,50,96,50,50,5,5,50,50,96,96,50,5,50,96,-0.118212021832333,-0.805372655276413,0.147103752820017,-0.104618051510162,-0.0487314608619545,-0.709944674895415,0.210660866415886,-0.0225665147517844,-0.0731170965107113,-0.752824937837007,0.192831550191641,-0.0677682170880993
Fujian,2008,observed,observed,TRUE,TRUE,33,6,31,80,33,33,6,6,31,31,80,80,33,6,31,80,-0.316245735007472,-0.706254811688515,-0.153900642491159,-0.194481067064059,-0.237590014895983,-0.614971821957637,-0.0700925430667273,-0.106298437537314,-0.26851491802978,-0.654867833950475,-0.101649246499432,-0.15706555591112
Fujian,2009,observed,observed,TRUE,TRUE,8,6,8,98,8,8,6,6,8,8,98,98,8,6,8,98,-0.965410661140117,-0.706254811688515,-0.973115184138086,-0.0944439463676744,-0.856678286853961,-0.614971821957637,-0.834191935792679,-0.0130865592778697,-0.909039252695593,-0.654867833950475,-0.903109140916272,-0.0576581566975165
Fujian,2010,observed,observed,TRUE,TRUE,22,9,18,81,22,22,9,9,18,18,81,81,22,9,18,81,-0.507149230564726,-0.476915237288597,-0.490558275563652,-0.188364255983416,-0.419648703555217,-0.395222956527764,-0.384100510344872,-0.100598958725691,-0.456877427393391,-0.428213987361657,-0.431010576578449,-0.150987249410745
Fujian,2011,observed,observed,TRUE,TRUE,14,8,9,102,14,14,8,8,9,9,102,102,14,8,9,102,-0.715917688658749,-0.544661335606264,-0.905072538550533,-0.0746982424961231,-0.618744647833561,-0.460135993370887,-0.7707270660549,0.00531195252064722,-0.662867110965048,-0.495166731192549,-0.836541167844396,-0.0380367496253331
Fujian,2012,observed,observed,TRUE,TRUE,37,18,34,188,37,37,18,18,34,34,188,188,37,18,34,188,-0.261921885480906,-0.064207533584587,-0.0960284090839089,0.227908650229417,-0.185783059874764,0.000225800540987319,-0.0161138401090443,0.287272855122088,-0.214914136204146,-0.0203393813059435,-0.0450312646176707,0.262665269590651
Fujian,2013,observed,observed,TRUE,TRUE,79,25,69,335,79,79,25,25,69,69,335,335,79,25,69,335,0.101671204389575,0.13747215341773,0.351611464851621,0.514735644452627,0.160964289900851,0.193471482255424,0.401409700362331,0.554530475902676,0.143839414092855,0.178978494632001,0.392907013894677,0.547686722842204
Fujian,2014,observed,observed,TRUE,TRUE,81,26,58,34,81,81,26,26,58,58,34,34,81,26,58,34,0.11373135373777,0.161738928823143,0.241205580855248,-0.61278458239249,0.172465676865808,0.216723449897442,0.298431707875279,-0.49606231793357,0.155739039020596,0.202961089019975,0.284893931078982,-0.572735901591211
Fujian,2015,observed,observed,TRUE,TRUE,137,39,91,378,137,137,39,39,91,91,378,378,137,39,91,378,0.367966220092721,0.41446265222992,0.528106439451172,0.574769197163024,0.414921511657771,0.458878566959837,0.56603043895369,0.610468113529283,0.406589958510325,0.452725239774476,0.565576853743081,0.607342371654866
Fujian,2016,observed,observed,TRUE,TRUE,136,45,100,279,136,136,45,45,100,100,279,279,136,45,100,279,0.364414122745339,0.504328635042356,0.588380936606302,0.423845823492248,0.411533987594021,0.54498646096568,0.62224978606209,0.469841803663754,0.403085140707468,0.541538828686109,0.624545035666297,0.457369042227593
