grid_id,species,province,year,date_source,disc_year,pub_year,lag,longitude,latitude,in_pa,in_pa_national,nearest_pa_name,nearest_pa_level,nearest_pa_type,nearest_pa_year,dist_to_pa_km,ax,ay,prov_geo,grid_id2,in_pa_b0,in_pa_b1_1,in_pa_b3,in_pa_b5,method,cause,method_grp,bio1,bio12,elev,warming_rate,climate_velocity,climate_exposure,unit_county,provgeo_county,unit_prefecture,provgeo_prefecture,valid_county,valid_prefecture
,Gracupica nigricollis,Shandong,2021,discovery_date,2021,2022,1,122.69,37.4,FALSE,FALSE,山东荣成大天鹅,national,野生动物,1992,10.1313139107035,1529640.35691798,4142689.43073959,"",,FALSE,FALSE,FALSE,FALSE,"","",unknown,,,,,,,371082,Shandong,371000,Shandong,TRUE,TRUE
,Grus japonensis,Fujian,2024,discovery_date,2024,2024,0,120.17,26.97,FALSE,FALSE,浙江乌岩岭,national,森林生态,1974,57.455468682848,1492149.24384776,2947054.31922027,Fujian,,FALSE,FALSE,FALSE,FALSE,观察拍摄,分布变化,birdwatching,,,,,,,350921,Fujian,350900,Fujian,TRUE,TRUE
,Halcyon coromanda,Shandong,2007,discovery_date,2007,2008,1,119.55,35.47,FALSE,FALSE,江苏云台山森林,provincial,森林生态,1981,89.0294364940549,1292141.82277306,3882761.71771172,Shandong,,FALSE,FALSE,FALSE,FALSE,"","",unknown,,,,,,,371102,Shandong,371100,Shandong,TRUE,TRUE
,Halcyon smyrnensis,Shandong,2022,discovery_date,2022,2024,2,119.71,35.62,FALSE,FALSE,山东青岛崂山,provincial,森林生态,2000,80.3415177402505,1303745.32686198,3901618.61261748,Shandong,,FALSE,FALSE,FALSE,FALSE,"","",unknown,,,,,,,370211,Shandong,370200,Shandong,TRUE,TRUE
,Harpactes wardi,Tibet,2019,discovery_date,2019,2020,1,89.01,27.31,FALSE,FALSE,西藏珠穆朗玛峰,national,森林生态,1988,101.087053625739,-1566048.59703143,2997112.92856974,Tibet,,FALSE,FALSE,FALSE,FALSE,观察和拍摄,"",birdwatching,,,,,,,540233,Tibet,540200,Tibet,TRUE,TRUE
,Hemixos castanonotus,Shandong,2020,discovery_date,2020,2023,3,119.39,35.68,FALSE,FALSE,山东青岛崂山,provincial,森林生态,2000,100.229662519417,1274605.63304258,3904170.5867816,Shandong,,FALSE,FALSE,FALSE,FALSE,"","",unknown,,,,,,,371121,Shandong,371100,Shandong,TRUE,TRUE
,Hieraaetus pennatus,Hainan,2022,discovery_date,2022,2022,0,110.35,18.67,FALSE,FALSE,礼纪青皮林,provincial,森林生态,1980,9.91550552807662,577171.284189847,1936090.39898123,Hainan,,FALSE,FALSE,FALSE,FALSE,"","",unknown,,,,,,,,,,,FALSE,FALSE
,Hirundo rustica,Hainan,2018,discovery_date,2018,2022,4,112.34,16.84,FALSE,FALSE,海南大洲岛国家级自然保护区,national,野生动物,1987,280.731289027114,806083.972871709,1753165.26220574,"",,FALSE,FALSE,FALSE,FALSE,"","",unknown,,,,,,,460300,Hainan,460300,Hainan,TRUE,TRUE
,Larus crassirostris,Hainan,2006,discovery_date,2006,2006,0,109.69,19.91,FALSE,FALSE,新英湾红树林,local,海洋海岸,1992,13.6041454162952,499673.702354414,2066849.56712322,Hainan,,FALSE,FALSE,FALSE,FALSE,"","",unknown,,,,,,,469024,Hainan,469024,Hainan,TRUE,TRUE
,Melanitta fusca,Guangdong,2023,discovery_date,2023,2025,2,113.75,22.53,FALSE,FALSE,广东内伶仃福田,national,湿地生态,1984,12.4749745210071,906156.446035939,2381421.73147484,"",,FALSE,FALSE,FALSE,FALSE,"","",unknown,,,,,,,,,,,FALSE,FALSE
,Melanitta fusca,Shanghai,2019,discovery_date,2019,2021,2,121.94,30.91,FALSE,FALSE,上海九段沙湿地国家级自然保护区,national,湿地生态,2000,22.7545123304532,1589765.57269122,3409783.78142907,"",,FALSE,FALSE,FALSE,FALSE,观察和拍摄,"",birdwatching,,,,,,,310115,Shanghai,310000,Shanghai,TRUE,TRUE
,Muscicapa muttui,Shanghai,2013,discovery_date,2013,2018,5,121.97,30.88,FALSE,FALSE,上海九段沙湿地国家级自然保护区,national,湿地生态,2000,24.3707625014144,1593127.00795219,3406942.27116725,"",,FALSE,FALSE,FALSE,FALSE,观察拍摄,分布变化,birdwatching,,,,,,,,,,,FALSE,FALSE
,Mycerobas affinis,Shandong,2009,discovery_date,2009,2009,0,119.22,37.27,FALSE,FALSE,山东黄河三角洲,national,海洋海岸,1990,39.0635440949006,1233998.27759056,4079879.04172569,"",,FALSE,FALSE,FALSE,FALSE,"","",unknown,,,,,,,,,,,FALSE,FALSE
,Netta rufina,Liaoning,2012,discovery_date,2012,2022,10,123.02,39.66,FALSE,FALSE,辽宁庄河仙人洞,national,森林生态,1981,35.308457579249,1511759.60174927,4399036.47508355,"",,FALSE,FALSE,FALSE,FALSE,"","",unknown,,,,,,,,,,,FALSE,FALSE
,Netta rufina,Shanghai,2012,discovery_date,2012,2018,6,121.9,31.05,FALSE,FALSE,上海九段沙湿地国家级自然保护区,national,湿地生态,2000,10.6270260436928,1583382.37546575,3424652.35253338,"",,FALSE,FALSE,FALSE,FALSE,观察拍摄,分布变化,birdwatching,,,,,,,310115,Shanghai,310000,Shanghai,TRUE,TRUE
,Oenanthe deserti,Zhejiang,2021,discovery_date,2021,2022,1,120.89,27.86,FALSE,FALSE,浙江乌岩岭,national,森林生态,1974,103.627122536519,1546558.20902724,3056126.29035244,"",,FALSE,FALSE,FALSE,FALSE,"","",unknown,,,,,,,,,,,FALSE,FALSE
,Onychoprion anaethetus,Guangxi,2013,discovery_date,2013,2013,0,109.2,20.92,FALSE,FALSE,涠州岛鸟类,provincial,野生动物,1982,13.6399622476008,442846.934187115,2174483.0434016,"",,FALSE,FALSE,FALSE,FALSE,"","",unknown,,,,,,,,,,,FALSE,FALSE
,Onychoprion anaethetus,Shandong,2018,discovery_date,2018,2019,1,120.68,36.01,FALSE,FALSE,山东青岛崂山,provincial,森林生态,2000,13.4677015598351,1382090.90555529,3958297.48752295,"",,FALSE,FALSE,FALSE,FALSE,"","",unknown,,,,,,,,,,,FALSE,FALSE
,Passer domesticus,Hainan,2017,discovery_date,2017,2022,5,112.34,16.84,FALSE,FALSE,海南大洲岛国家级自然保护区,national,野生动物,1987,280.731289027114,806083.972871709,1753165.26220574,"",,FALSE,FALSE,FALSE,FALSE,"","",unknown,,,,,,,460300,Hainan,460300,Hainan,TRUE,TRUE
,Passer domesticus,Zhejiang,2021,discovery_date,2021,2023,2,120.72,27.73,FALSE,FALSE,浙江乌岩岭,national,森林生态,1974,86.932265812319,1532439.98328931,3039160.30978761,"",,FALSE,FALSE,FALSE,FALSE,"","",unknown,,,,,,,330381,Zhejiang,330300,Zhejiang,TRUE,TRUE
,Pericrocotus cantonensis,Tianjin,2020,discovery_date,2020,2023,3,118,39.24,FALSE,FALSE,天津古海岸与湿地国家级自然保护区,national,海洋海岸,1992,31.2983166854651,1099689.78926732,4286117.00795802,Hebei,,FALSE,FALSE,FALSE,FALSE,观察和拍摄,"",birdwatching,,,,,,,120116,Tianjin,120000,Tianjin,TRUE,TRUE
,Phoenicurus ochruros,Jiangsu,2014,discovery_date,2014,2025,11,121.04,32.56,FALSE,FALSE,大洞山,local,森林生态,2001,28.9196128751743,1476191.46116131,3579016.63461775,"",,FALSE,FALSE,FALSE,FALSE,"","",unknown,,,,,,,320623,Jiangsu,320600,Jiangsu,TRUE,TRUE
,Phoenicurus ochruros,Shanghai,2011,discovery_date,2011,2013,2,121.97,30.88,FALSE,FALSE,上海九段沙湿地国家级自然保护区,national,湿地生态,2000,24.3707625014144,1593127.00795219,3406942.27116725,"",,FALSE,FALSE,FALSE,FALSE,观察拍摄,分布变化,birdwatching,,,,,,,,,,,FALSE,FALSE
,Phoenicurus ochruros,Zhejiang,2019,discovery_date,2019,2020,1,122.19,29.43,TRUE,TRUE,韭山列岛,national,海洋海岸,1998,0,1641609.73197753,3250201.72760093,Zhejiang,,TRUE,TRUE,TRUE,TRUE,"","",unknown,,,,,,,,,,,FALSE,FALSE
,Phylloscopus cantator,Guangxi,2014,discovery_date,2014,2014,0,105.79,23.02,FALSE,FALSE,邦亮长臂猿,provincial,野生动物,2009,61.5521101673844,81489.4062428195,2395667.36178745,"",,FALSE,FALSE,FALSE,FALSE,"","",unknown,,,,,,,451026,Guangxi,451000,Guangxi,TRUE,TRUE
,Phylloscopus claudiae,Shanghai,2013,discovery_date,2013,2018,5,121.97,30.91,FALSE,FALSE,上海九段沙湿地国家级自然保护区,national,湿地生态,2000,21.4078403694391,1592553.52999465,3410264.58778935,"",,FALSE,FALSE,FALSE,FALSE,观察拍摄,分类变动或误认,birdwatching,,,,,,,310115,Shanghai,310000,Shanghai,TRUE,TRUE
,Phylloscopus intermedius,Shanghai,2013,discovery_date,2013,2018,5,121.97,30.91,FALSE,FALSE,上海九段沙湿地国家级自然保护区,national,湿地生态,2000,21.4078403694391,1592553.52999465,3410264.58778935,"",,FALSE,FALSE,FALSE,FALSE,观察拍摄,分布变化,birdwatching,,,,,,,310115,Shanghai,310000,Shanghai,TRUE,TRUE
,Phylloscopus soror,Shanghai,2011,discovery_date,2011,2013,2,121.97,30.88,FALSE,FALSE,上海九段沙湿地国家级自然保护区,national,湿地生态,2000,24.3707625014144,1593127.00795219,3406942.27116725,"",,FALSE,FALSE,FALSE,FALSE,观察拍摄,分布变化,birdwatching,,,,,,,,,,,FALSE,FALSE
,Phylloscopus tephrocephalus,Tianjin,2020,discovery_date,2020,2023,3,118,39.24,FALSE,FALSE,天津古海岸与湿地国家级自然保护区,national,海洋海岸,1992,31.2983166854651,1099689.78926732,4286117.00795802,Hebei,,FALSE,FALSE,FALSE,FALSE,观察和拍摄,"",birdwatching,,,,,,,120116,Tianjin,120000,Tianjin,TRUE,TRUE
,Prinia flaviventris,Jiangsu,2022,discovery_date,2022,2025,3,121.44,32.34,FALSE,FALSE,大洞山,local,森林生态,2001,62.6143368010029,1516756.62375457,3560592.30192932,"",,FALSE,FALSE,FALSE,FALSE,"","",unknown,,,,,,,,,,,FALSE,FALSE
,Prunella montanella,Jiangsu,2014,discovery_date,2014,2025,11,121.04,32.56,FALSE,FALSE,大洞山,local,森林生态,2001,28.9196128751743,1476191.46116131,3579016.63461775,"",,FALSE,FALSE,FALSE,FALSE,"","",unknown,,,,,,,320623,Jiangsu,320600,Jiangsu,TRUE,TRUE
,Pycnonotus sinensis,Liaoning,2004,discovery_date,2004,2006,2,121.59,38.92,FALSE,FALSE,老偏岛－玉皇顶,local,野生动物,2000,3.59380556388683,1406864.99415494,4295677.88236551,Liaoning,,FALSE,FALSE,FALSE,TRUE,"","",unknown,,,,,,,210204,Liaoning,210200,Liaoning,TRUE,TRUE
,Pycnonotus xanthorrhous,Shanghai,2008,discovery_date,2008,2018,10,121.96,30.88,FALSE,FALSE,上海九段沙湿地国家级自然保护区,national,湿地生态,2000,24.8102984626411,1592197.37035395,3406781.85102909,"",,FALSE,FALSE,FALSE,FALSE,观察拍摄,分布变化,birdwatching,,,,,,,310115,Shanghai,310000,Shanghai,TRUE,TRUE
,Sittiparus varius,Shanghai,2012,discovery_date,2012,2013,1,121.97,30.88,FALSE,FALSE,上海九段沙湿地国家级自然保护区,national,湿地生态,2000,24.3707625014144,1593127.00795219,3406942.27116725,"",,FALSE,FALSE,FALSE,FALSE,观察拍摄,分布变化,birdwatching,,,,,,,,,,,FALSE,FALSE
,Spilornis cheela,Shanghai,2015,discovery_date,2015,2018,3,121.97,30.89,FALSE,FALSE,上海九段沙湿地国家级自然保护区,national,湿地生态,2000,23.3731302409304,1592935.8520057,3408049.69050232,"",,FALSE,FALSE,FALSE,FALSE,观察拍摄,分布变化,birdwatching,,,,,,,310115,Shanghai,310000,Shanghai,TRUE,TRUE
,Spizixos semitorques,Shandong,2011,discovery_date,2011,2017,6,119.55,35.5,FALSE,FALSE,江苏云台山森林,provincial,森林生态,1981,92.3328247986643,1291646.83103319,3886115.03608122,Shandong,,FALSE,FALSE,FALSE,FALSE,"","",unknown,,,,,,,371102,Shandong,371100,Shandong,TRUE,TRUE
,Thalasseus bergii,Shanghai,2011,discovery_date,2011,2013,2,121.98,31.29,FALSE,FALSE,上海九段沙湿地国家级自然保护区,national,湿地生态,2000,7.09159159510648,1586211.94323045,3452521.93092821,"",,FALSE,FALSE,FALSE,FALSE,观察拍摄,分布变化或缺乏调查,birdwatching,,,,,,,,,,,FALSE,FALSE
3,Charadrius placidus,Hainan,2004,discovery_date,2004,2006,2,109.51,18.25,FALSE,FALSE,大东海火岭,local,野生动物,1996,2.19371125558881,488679.719526979,1886239.13684845,Hainan,3,FALSE,FALSE,TRUE,TRUE,"","",unknown,2.5050594329834,1426,124,0.172162696920853,0.0227746414362233,0.0529328433991583,460203,Hainan,460200,Hainan,TRUE,TRUE
4,Pericrocotus divaricatus,Hainan,2017,discovery_date,2017,2020,3,108.82,18.7,FALSE,FALSE,海南尖峰岭,national,森林生态,1976,2.42427541553285,412084.018164727,1931710.13457409,Hainan,4,FALSE,FALSE,TRUE,TRUE,"","",unknown,2.52847232818604,1174,22,0.172162696920853,0.0227746414362233,0.0529328433991583,469027,Hainan,469027,Hainan,TRUE,TRUE
6,Eumyias thalassinus,Hainan,2018,discovery_date,2018,2019,1,109.68,18.86,FALSE,FALSE,海南五指山,national,森林生态,1985,0.208384063336821,503978.377345519,1952980.56505613,Hainan,6,FALSE,TRUE,TRUE,TRUE,"","",unknown,2.46555004119873,1487,144,0.172162696920853,0.0227746414362233,0.0529328433991583,469001,Hainan,469001,Hainan,TRUE,TRUE
9,Cisticola exilis,Hainan,2007,discovery_date,2007,2007,0,109.11,19.01,FALSE,FALSE,海南霸王岭,national,野生动物,1980,1.54794710823131,441961.503612473,1966496.18048989,Hainan,9,FALSE,FALSE,TRUE,TRUE,"","",unknown,2.22906665802002,1461,503,0.172162696920853,0.0227746414362233,0.0529328433991583,469026,Hainan,469026,Hainan,TRUE,TRUE
16,Curruca curruca,Hainan,2021,discovery_date,2021,2022,1,110.33,20.07,FALSE,FALSE,永兴鸟类,local,野生动物,1988,17.288221693536,566863.811140337,2087672.02184332,"",16,FALSE,FALSE,FALSE,FALSE,"","",unknown,2.4360294342041,1686,2,0.172162696920853,0.0227746414362233,0.0529328433991583,460108,Hainan,460100,Hainan,TRUE,TRUE
16,Larvivora cyane,Hainan,2006,discovery_date,2006,2009,3,110.31,20.04,FALSE,FALSE,永兴鸟类,local,野生动物,1988,13.9020967899855,564913.300773824,2084298.0557609,"",16,FALSE,FALSE,FALSE,FALSE,"","",unknown,2.4360294342041,1686,2,0.172162696920853,0.0227746414362233,0.0529328433991583,460106,Hainan,460100,Hainan,TRUE,TRUE
16,Phylloscopus intermedius,Hainan,2018,discovery_date,2018,2019,1,110.34,20.07,FALSE,FALSE,永兴鸟类,local,野生动物,1988,17.4464360436716,567926.320646841,2087729.17244027,"",16,FALSE,FALSE,FALSE,FALSE,"","",unknown,2.4360294342041,1686,2,0.172162696920853,0.0227746414362233,0.0529328433991583,460108,Hainan,460100,Hainan,TRUE,TRUE
16,Pycnonotus jocosus,Hainan,2010,discovery_date,2010,2011,1,110.33,20,FALSE,FALSE,永兴鸟类,local,野生动物,1988,9.76684960603301,567272.537183574,2080066.09115642,Hainan,16,FALSE,FALSE,FALSE,FALSE,"","",unknown,2.4360294342041,1686,2,0.172162696920853,0.0227746414362233,0.0529328433991583,460106,Hainan,460100,Hainan,TRUE,TRUE
17,Anser anser,Hainan,2007,discovery_date,2007,2009,2,110.58,19.9,FALSE,FALSE,名人山鸟类,local,野生动物,1997,14.264897678754,594463.713559178,2070667.68109964,Hainan,17,FALSE,FALSE,FALSE,FALSE,"","",unknown,2.42029991149902,1731,5,0.172162696920853,0.0227746414362233,0.0529328433991583,460108,Hainan,460100,Hainan,TRUE,TRUE
17,Gracupica nigricollis,Hainan,2005,discovery_date,2005,2006,1,110.59,19.97,FALSE,FALSE,名人山鸟类,local,野生动物,1997,12.1934551005328,595099.467739183,2078329.33454234,"",17,FALSE,FALSE,FALSE,FALSE,"","",unknown,2.42029991149902,1731,5,0.172162696920853,0.0227746414362233,0.0529328433991583,,,,,FALSE,FALSE
21,Circaetus gallicus,Guangxi,2015,discovery_date,2015,2021,6,109.05,21.45,FALSE,FALSE,合浦营盘港－英罗港儒艮,national,野生动物,1986,15.161457671544,424677.205713611,2231712.48826626,"",21,FALSE,FALSE,FALSE,FALSE,"","",unknown,2.2825439453125,1632,3,0.233121858022171,0.0366689971097029,0.0800731827586212,450503,Guangxi,450500,Guangxi,TRUE,TRUE
21,Gyps himalayensis,Guangxi,2013,discovery_date,2013,2013,0,109.08,21.44,FALSE,FALSE,合浦营盘港－英罗港儒艮,national,野生动物,1986,15.8442041871064,427866.152453536,2230748.01113415,Guangxi,21,FALSE,FALSE,FALSE,FALSE,"","",unknown,2.2825439453125,1632,3,0.233121858022171,0.0366689971097029,0.0800731827586212,450503,Guangxi,450500,Guangxi,TRUE,TRUE
37,Aviceda jerdoni,Guangdong,2014,discovery_date,2014,2023,9,111.44,21.83,FALSE,FALSE,广东云开山,national,森林生态,2010,45.7841667992617,672305.684780884,2286472.39756354,Guangdong,37,FALSE,FALSE,FALSE,FALSE,观察和拍摄,"",birdwatching,2.30165004730225,1953,47,0.162594727376706,0.0242739372407283,0.0586741474778168,441721,Guangdong,441700,Guangdong,TRUE,TRUE
37,Temnurus temnurus,Guangdong,2020,discovery_date,2020,2022,2,111.43,21.79,FALSE,FALSE,广东云开山,national,森林生态,2010,50.0864951671745,671546.853325978,2282031.07775317,Guangdong,37,FALSE,FALSE,FALSE,FALSE,"","",unknown,2.30165004730225,1953,47,0.162594727376706,0.0242739372407283,0.0586741474778168,441721,Guangdong,441700,Guangdong,TRUE,TRUE
45,Bubo nipalensis,Guangxi,2013,discovery_date,2013,2014,1,106.88,22.35,FALSE,FALSE,龙州青龙山,local,森林生态,1982,10.4172181364798,195309.132779299,2323545.01611495,Guangxi,45,FALSE,FALSE,FALSE,FALSE,"","",unknown,2.2046667098999,1363,247,0.233121858022171,0.0366689971097029,0.0800731827586212,451423,Guangxi,451400,Guangxi,TRUE,TRUE
45,Locustella davidi,Guangxi,2023,discovery_date,2023,2024,1,106.97,22.5,FALSE,FALSE,广西弄岗,national,森林生态,1978,3.13718548247141,204330.993362296,2340195.9481595,Guangxi,45,FALSE,FALSE,FALSE,TRUE,"","",unknown,2.2046667098999,1363,247,0.233121858022171,0.0366689971097029,0.0800731827586212,451423,Guangxi,451400,Guangxi,TRUE,TRUE
45,Mixornis gularis,Guangxi,2005,discovery_date,2005,2005,0,106.96,22.47,FALSE,FALSE,广西弄岗,national,森林生态,1978,0.706473438356655,203358.966739931,2336880.76966412,Guangxi,45,FALSE,TRUE,TRUE,TRUE,"","",unknown,2.2046667098999,1363,247,0.233121858022171,0.0366689971097029,0.0800731827586212,451423,Guangxi,451400,Guangxi,TRUE,TRUE
45,Pellorneum tickelli,Guangxi,2005,discovery_date,2005,2006,1,106.88,22.35,FALSE,FALSE,龙州青龙山,local,森林生态,1982,10.4172181364798,195309.132779299,2323545.01611495,Guangxi,45,FALSE,FALSE,FALSE,FALSE,"","",unknown,2.2046667098999,1363,247,0.233121858022171,0.0366689971097029,0.0800731827586212,451423,Guangxi,451400,Guangxi,TRUE,TRUE
48,Remiz consobrinus,Guangxi,2012,discovery_date,2012,2015,3,108.32,22.58,FALSE,FALSE,广西崇左白头叶猴,national,野生动物,1980,34.3630565592797,344019.327748153,2352710.45603852,Guangxi,48,FALSE,FALSE,FALSE,FALSE,"","",unknown,2.14773330688477,1626,137,0.233121858022171,0.0366689971097029,0.0800731827586212,450108,Guangxi,450100,Guangxi,TRUE,TRUE
62,Passer domesticus,Yunnan,2014,discovery_date,2014,2015,1,100.98,22.79,FALSE,FALSE,云南西双版纳,national,森林生态,1958,48.8826912056411,-415582.904032597,2378456.29415875,Yunnan,62,FALSE,FALSE,FALSE,FALSE,观察拍摄,分布变化,birdwatching,1.79829998016357,1443,1518,0.203671072863646,0.0414938965274204,0.0642392426901583,530802,Yunnan,530800,Yunnan,TRUE,TRUE
69,Syrmaticus humiae,Yunnan,2017,discovery_date,2017,2022,5,104.37,23.1,FALSE,FALSE,麻栗坡老君山,provincial,森林生态,1981,23.6808526749353,-64929.5968415414,2404354.54758204,Yunnan,69,FALSE,FALSE,FALSE,FALSE,"","",unknown,1.71666660308838,1669,1312,0.203671072863646,0.0414938965274204,0.0642392426901583,532625,Yunnan,532600,Yunnan,TRUE,TRUE
70,Cephalopyrus flammiceps,Guangxi,2012,discovery_date,2012,2013,1,106.72,22.8,FALSE,FALSE,广西下雷,provincial,森林生态,1982,5.70790709627619,177832.241201809,2372681.53204248,"",70,FALSE,FALSE,FALSE,FALSE,"","",unknown,2.10294990539551,1511,508,0.233121858022171,0.0366689971097029,0.0800731827586212,,,,,FALSE,FALSE
73,Copsychus saularis,Guangxi,2005,discovery_date,2005,2006,1,108.3,22.85,FALSE,FALSE,广西崇左白头叶猴,national,野生动物,1980,48.2231934275549,340961.264720558,2382307.02581215,Guangxi,73,FALSE,FALSE,FALSE,FALSE,"","",unknown,2.17256660461426,1415,107,0.233121858022171,0.0366689971097029,0.0800731827586212,450107,Guangxi,450100,Guangxi,TRUE,TRUE
92,Onychoprion anaethetus,Yunnan,2024,discovery_date,2024,2024,0,103.16,23.35,FALSE,FALSE,云南元阳观音山,provincial,森林生态,1994,44.5297489377242,-189115.823234913,2433433.67468177,Yunnan,92,FALSE,FALSE,FALSE,FALSE,"","",unknown,1.6400333404541,1181,1564,0.203671072863646,0.0414938965274204,0.0642392426901583,532501,Yunnan,532500,Yunnan,TRUE,TRUE
93,Leptoptilos javanicus,Yunnan,2013,discovery_date,2013,2014,1,103.38,23.42,FALSE,FALSE,云南大围山,national,森林生态,1986,41.7675577185875,-166380.435331379,2440752.01135557,Yunnan,93,FALSE,FALSE,FALSE,FALSE,"","",unknown,1.56086664199829,1319,1719,0.203671072863646,0.0414938965274204,0.0642392426901583,532503,Yunnan,532500,Yunnan,TRUE,TRUE
98,Parus monticolus,Guangxi,2004,discovery_date,2004,2006,2,106.09,23.36,FALSE,FALSE,黄连山-兴旺,provincial,森林生态,1982,16.157518451607,112022.635759222,2433397.90461306,Guangxi,98,FALSE,FALSE,FALSE,FALSE,"","",unknown,1.86078338623047,1411,1067,0.233121858022171,0.0366689971097029,0.0800731827586212,451026,Guangxi,451000,Guangxi,TRUE,TRUE
99,Phylloscopus intermedius,Guangxi,2006,discovery_date,2006,2008,2,106.42,23.13,FALSE,FALSE,邦亮长臂猿,provincial,野生动物,2009,17.5783101431948,146298.006510878,2408497.45139677,Guangxi,99,FALSE,FALSE,FALSE,FALSE,"","",unknown,1.9267333984375,1462,941,0.233121858022171,0.0366689971097029,0.0800731827586212,451081,Guangxi,451000,Guangxi,TRUE,TRUE
99,Picumnus innominatus,Guangxi,2005,discovery_date,2005,2006,1,106.42,23.13,FALSE,FALSE,邦亮长臂猿,provincial,野生动物,2009,17.5783101431948,146298.006510878,2408497.45139677,Guangxi,99,FALSE,FALSE,FALSE,FALSE,"","",unknown,1.9267333984375,1462,941,0.233121858022171,0.0366689971097029,0.0800731827586212,451081,Guangxi,451000,Guangxi,TRUE,TRUE
112,Treron curvirostra,Guangdong,2022,discovery_date,2022,2023,1,112.55,23.17,FALSE,FALSE,广东四会绥江鼋,local,野生动物,1990,23.3652531538391,776794.456784423,2441405.96028544,Guangdong,112,FALSE,FALSE,FALSE,FALSE,"","",unknown,2.20904998779297,1756,3,0.162594727376706,0.0242739372407283,0.0586741474778168,441203,Guangdong,441200,Guangdong,TRUE,TRUE
