model,structure,term,estimate,se,HR,lo,hi,P,AIC,n,events,note
M4,species+province,(Intercept),-5.7051746968881,0.102619213113456,0.00332869582153292,0.00272221782359705,0.00407028995851981,0,8371.69346976651,175901,649,"Push vs pull, both ends free; prov:year dropped so that dT is identifiable"
M4,species+province,dT_z,0.681481345570028,0.0902076473969418,1.9768038940582,1.65644602202836,2.35911921281838,4.20197274016787e-14,8371.69346976651,175901,649,"Push vs pull, both ends free; prov:year dropped so that dT is identifiable"
M4,species+province,dN_z,-0.160605614633636,0.0629553711493252,0.851627874456108,0.752768043282947,0.963470810194871,0.0107382690973057,8371.69346976651,175901,649,"Push vs pull, both ends free; prov:year dropped so that dT is identifiable"
M4,species+province,effort_z,0.135180935278556,0.0743391295676031,1.14474389016902,0.989531422334191,1.32430213382019,0.0689975492986155,8371.69346976651,175901,649,"Push vs pull, both ends free; prov:year dropped so that dT is identifiable"
M4,species+province,clim_var_z,-0.0179085920277377,0.0411013589176286,0.982250813810011,0.906225366019246,1.06465422113327,0.663041518746608,8371.69346976651,175901,649,"Push vs pull, both ends free; prov:year dropped so that dT is identifiable"
M4,species+province,dT_z:effort_z,-0.210683052520749,0.0622193824099701,0.810030763408047,0.717033266946235,0.915089812306607,0.000708852335971145,8371.69346976651,175901,649,"Push vs pull, both ends free; prov:year dropped so that dT is identifiable"
M4,species+province,dN_z:effort_z,0.055974015802789,0.0547272843580768,1.05757020326686,0.950001741207679,1.17731861566493,0.306411496907726,8371.69346976651,175901,649,"Push vs pull, both ends free; prov:year dropped so that dT is identifiable"
M5,species+province,(Intercept),-5.72133449873218,0.0961109054818544,0.00327533705140087,0.00271296845295476,0.00395427849099954,0,8406.59927767752,175901,649,Control for M4: the constrained difference under the same structure
M5,species+province,x_z,0.356307790960207,0.0562863066351407,1.42804702059126,1.27888247471162,1.59460961686837,2.44724886537569e-10,8406.59927767752,175901,649,Control for M4: the constrained difference under the same structure
M5,species+province,effort_z,0.370158771095727,0.0458819096635592,1.44796449132282,1.3234344691421,1.58421230292638,7.16694722837037e-16,8406.59927767752,175901,649,Control for M4: the constrained difference under the same structure
M5,species+province,clim_var_z,-0.0392052603440393,0.041524632212467,0.96155332012369,0.88639417061723,1.04308536550626,0.345095722953326,8406.59927767752,175901,649,Control for M4: the constrained difference under the same structure
M5,species+province,x_z:effort_z,-0.148004325857703,0.0485296329571859,0.862427384195833,0.784175519752013,0.948487901338822,0.00229014993169788,8406.59927767752,175901,649,Control for M4: the constrained difference under the same structure
